Column1;country;country_code;indicator;indicator_user;year;value
347;Bulgaria;BGR;gdp_growth;GDP Growth (%);1997;"-14.12							"
348;Bulgaria;BGR;gdp_growth;GDP Growth (%);1998;"3.79							"
349;Bulgaria;BGR;gdp_growth;GDP Growth (%);1999;"-8.4							"
350;Bulgaria;BGR;gdp_growth;GDP Growth (%);2000;"4.59							"
351;Bulgaria;BGR;gdp_growth;GDP Growth (%);2001;"3.82							"
352;Bulgaria;BGR;gdp_growth;GDP Growth (%);2002;"5.87							"
353;Bulgaria;BGR;gdp_growth;GDP Growth (%);2003;"5.24							"
354;Bulgaria;BGR;gdp_growth;GDP Growth (%);2004;"6.51							"
355;Bulgaria;BGR;gdp_growth;GDP Growth (%);2005;"7.06							"
356;Bulgaria;BGR;gdp_growth;GDP Growth (%);2006;"6.8							"
357;Bulgaria;BGR;gdp_growth;GDP Growth (%);2007;"6.65							"
358;Bulgaria;BGR;gdp_growth;GDP Growth (%);2008;"6.13							"
359;Bulgaria;BGR;gdp_growth;GDP Growth (%);2009;"-3.35							"
360;Bulgaria;BGR;gdp_growth;GDP Growth (%);2010;"1.54							"
361;Bulgaria;BGR;gdp_growth;GDP Growth (%);2011;"2.1							"
362;Bulgaria;BGR;gdp_growth;GDP Growth (%);2012;"0.75							"
363;Bulgaria;BGR;gdp_growth;GDP Growth (%);2013;"-0.56							"
364;Bulgaria;BGR;gdp_growth;GDP Growth (%);2014;"0.97							"
365;Bulgaria;BGR;gdp_growth;GDP Growth (%);2015;"3.43							"
366;Bulgaria;BGR;gdp_growth;GDP Growth (%);2016;"3.04							"
367;Bulgaria;BGR;gdp_growth;GDP Growth (%);2017;"2.76							"
368;Bulgaria;BGR;gdp_growth;GDP Growth (%);2018;"2.68							"
369;Bulgaria;BGR;gdp_growth;GDP Growth (%);2019;"4.04							"
370;Bulgaria;BGR;gdp_growth;GDP Growth (%);2020;"-3.96							"
371;Bulgaria;BGR;gdp_growth;GDP Growth (%);2021;"7.63							"
372;Croatia;HRV;gdp_growth;GDP Growth (%);1960;
